,coin,type,price,qty,timestamp,amount,temp,qty1Cum,qty2Cum,qty3Cum,qty4Cum,qty5Cum,coin_sell,type_sell,price_sell,qty_sell,timestamp_sell,amount_sell,temp_sell,qtyS
0,1INCH ,SGD Buy Instant Order,4.96591,0.99679615,2021-12-01 00:25:48,5,,0.996796,n,n,n,n,1INCH ,SGD Sell Instant Order,5.55308,0.99679615,2021-12-01 21:23:59,5.47,5.47,0.996796
1,AAVE ,SGD Buy Instant Order,323.464,0.01530309,2021-11-29 20:53:10,5,,0.015303,n,n,n,n,AAVE ,SGD Sell Instant Order,339.12,0.01530309,2021-11-30 07:02:18,5.13,5.13,0.015303
2,AAVE ,SGD Buy Instant Order,311.461,0.01589284,2022-01-06 07:06:29,5,,0.015892,0.0311959299999999,n,n,n,,,,,,,,
3,AAVE ,SGD Buy Instant Order,203.081,0.02437451,2022-01-23 10:05:57,5,,0.0243745099999999,0.040267,0.055570,n,n,,,,,,,,
4,ATOM ,SGD Buy Instant Order,49.4417,0.10082582,2021-11-08 19:42:49,5,,0.100825,n,n,n,n,,,,,,,,
5,AVAX ,SGD Buy Instant Order,152.462,0.0324671,2021-12-29 01:00:02,5,,0.03246,n,n,n,n,,,,,,,,
6,AXS ,SGD Buy Instant Order,207.983,0.02380002,2021-11-04 19:34:07,5,,0.023800,n,n,n,n,,,,,,,,
7,BAND ,SGD Buy Instant Order,7.29381,0.67865765,2021-12-12 22:48:28,5,,0.678657,n,n,n,n,BAND ,SGD Sell Instant Order,7.65317,0.67865765,2021-12-24 03:20:33,5.14,5.14,0.678657
8,BAT ,SGD Buy Instant Order,1.47139,3.36416585,2021-12-11 10:16:09,5,,3.364165,n,n,n,n,BAT ,SGD Sell Instant Order,1.55587,3.36416585,2021-12-12 22:08:05,5.18,5.18,3.364165
9,BCH ,SGD Buy Instant Order,811.325,0.00610113,2021-11-17 20:37:59,5,,0.006101,n,n,n,n,BCH ,SGD Sell Instant Order,842.734,0.00610113,2021-11-25 08:05:37,5.1,5.1,0.006101
10,BTC ,SGD Buy Instant Order,63575.24,7.786e-05,2021-12-29 21:16:39,5,,7.786e-,n,n,n,n,,,,,,,,
11,BTC ,SGD Buy Instant Order,47742.87,0.00010368,2022-01-23 10:04:47,5,,0.000103,0.000181,n,n,n,,,,,,,,
12,CHZ ,SGD Buy Instant Order,0.57908,8.54804172,2021-11-28 17:21:33,5,,8.548041,n,n,n,n,CHZ ,SGD Sell Instant Order,0.62487,8.54804172,2021-11-29 18:19:19,5.28,5.28,8.548041
13,CHZ ,SGD Buy Instant Order,0.57961,8.54022532,2021-12-02 14:32:28,5,,8.5402253199999,17.0882670399999,n,n,n,,,,,,,,
14,CLV ,SGD Buy Instant Order,1.50974,3.27871024,2021-12-01 21:54:13,5,,3.278710,n,n,n,n,,,,,,,,
15,DAI ,SGD Buy Instant Order,1.36304,3.63158821,2021-12-24 16:40:07,5,,3.631588,n,n,n,n,,,,,,,,
16,DOT ,SGD Buy Instant Order,48.6245,0.10180053,2021-12-02 14:36:49,5,,0.101800,n,n,n,n,,,,,,,,
17,DOT ,SGD Buy Instant Order,44.437,0.11139365,2021-12-04 11:29:25,5,,0.111393650000000,0.213194,n,n,n,,,,,,,,
18,DOT ,SGD Buy Instant Order,40.1221,0.1233734,2021-12-04 23:25:30,5,,0.123373400000000,0.234767049999999,0.336567,n,n,,,,,,,,
19,DOT ,SGD Buy Instant Order,36.3307,0.1362484,2021-12-06 21:29:54,5,,0.136248400000000,0.259621799999999,0.371015449999999,0.472815979999999,n,,,,,,,,
20,DYDX ,SGD Buy Instant Order,16.9711,0.29167231,2021-11-29 20:09:58,5,,0.291672,n,n,n,n,DYDX ,SGD Sell Instant Order,17.5071,0.29167231,2021-11-30 22:49:22,5.05,5.05,0.291672
21,EGLD ,SGD Buy Instant Order,439.853,0.01125375,2021-11-05 18:38:48,5,,0.011253,n,n,n,n,EGLD ,SGD Sell Instant Order,457.15,0.01125375,2021-11-19 21:16:03,5.1,5.1,0.011253
22,EGLD ,SGD Buy Instant Order,537.737,0.00920524,2021-12-01 00:27:03,5,,0.009205,0.020458,n,n,n,,,,,,,,
23,EGLD ,SGD Buy Instant Order,506.506,0.00977283,2021-12-02 14:33:18,5,,0.009772,0.018978,0.030231,n,n,,,,,,,,
24,EGLD ,SGD Buy Instant Order,479.922,0.01031417,2021-12-03 15:23:47,5,,0.0103141700000000,0.0200869999999999,0.0292922399999999,0.040545,n,,,,,,,,
25,EGLD ,SGD Buy Instant Order,455.214,0.010874,2021-12-04 00:06:14,5,,0.0108,0.0211881699999999,0.0309,0.040166,0.051419,,,,,,,,
26,EGLD ,SGD Buy Instant Order,374.593,0.01321434,2021-12-06 21:28:34,5,,0.013214,0.024088,0.034402,0.0441753399999999,0.0533805800000000,,,,,,,,
27,EGLD ,SGD Buy Instant Order,188.961,0.02619588,2022-01-23 18:59:42,5,,0.0261958800000000,0.039410,0.0502842200000000,0.060598,0.070371,,,,,,,,
28,ENJ ,SGD Buy Instant Order,3.91922,1.26300641,2021-11-03 19:57:27,5,,1.263006,n,n,n,n,ENJ ,SGD Sell Instant Order,4.19014,1.26300641,2021-11-04 18:40:10,5.23,5.23,1.263006
29,ENJ ,SGD Buy Instant Order,3.91922,1.26300641,2021-11-03 19:57:27,5,,1.263006,2.526012,n,n,n,ENJ ,SGD Sell Instant Order,4.19014,1.26300641,2021-11-04 18:40:10,5.23,5.23,1.263006
30,ENJ ,SGD Buy Instant Order,4.34526,1.14722709,2021-11-08 19:40:30,5,,1.147227,2.41023,3.673239,n,n,,,,,,,,
31,ENJ ,SGD Buy Instant Order,4.18177,1.19207895,2021-11-09 22:02:36,5,,1.192078,2.339306,3.60231245000000,4.865318,n,,,,,,,,
32,ENJ ,SGD Buy Instant Order,4.8849,1.01332678,2021-12-01 00:28:28,5,,1.01332677999999,2.20540573000000,3.352632,4.615639,5.878645,,,,,,,,
33,ENJ ,SGD Buy Instant Order,4.72678,1.04722453,2021-12-02 08:26:57,5,,1.047224,2.060551,3.25263026000000,4.39985735000000,5.66286376000000,,,,,,,,
34,ENJ ,SGD Buy Instant Order,4.10122,1.20695792,2021-12-04 09:08:15,5,,1.206957,2.254182,3.2675092300000,4.4595881800000,5.606815,,,,,,,,
35,ENJ ,SGD Buy Instant Order,3.91006,1.26596522,2021-12-05 22:35:05,5,,1.26596521999999,2.472923,3.5201476700000,4.5334744500000,5.7255534000000,,,,,,,,
36,ENJ ,SGD Buy Instant Order,3.48192,1.42162944,2021-12-06 21:29:24,5,,1.42162943999999,2.68759466000000,3.8945525800000,4.9417771100000,5.9551038900000,,,,,,,,
37,ENJ ,SGD Buy Instant Order,2.02119,2.44905229,2022-01-25 20:52:20,5,,2.449052,3.87068173000000,5.1366469500000,6.3436048700000,7.3908294000000,,,,,,,,
38,ETH ,SGD Buy Instant Order,5520.63,0.00089663,2021-12-12 22:45:02,5,,0.000896,n,n,n,n,,,,,,,,
39,ETH ,SGD Buy Instant Order,3304.82,0.00149781,2022-01-23 10:05:03,5,,0.00149781000000000,0.00239444000000000,n,n,n,,,,,,,,
40,FTM ,SGD Buy Instant Order,3.78537,1.30766609,2021-11-02 22:13:06,5,,1.307666,n,n,n,n,FTM ,SGD Sell Instant Order,3.9574,1.30766609,2021-11-05 18:25:28,5.12,5.12,1.307666
41,FTM ,SGD Buy Instant Order,3.78537,1.30766609,2021-11-02 22:13:06,5,,1.307666,2.615332,n,n,n,FTM ,SGD Sell Instant Order,3.9574,1.30766609,2021-11-05 18:25:28,5.12,5.12,1.307666
42,FTM ,SGD Buy Instant Order,2.0588,2.40431319,2021-12-09 23:24:58,5,,2.404313,3.71197927999999,5.0196453699999,n,n,FTM ,SGD Sell Instant Order,2.19728,2.40431319,2021-12-22 19:14:19,5.23,5.23,2.404313
43,FTM ,SGD Buy Instant Order,2.82645,1.75131348,2022-01-23 10:01:57,5,,1.75131348000000,4.155626,5.463292,6.77095884999999,n,,,,,,,,
44,FTM ,SGD Buy Instant Order,3.04245,1.62697825,2022-01-27 07:05:35,5,,1.62697825000000,3.3782917300000,5.7826049200000,7.090271,8.39793,,,,,,,,
45,GRT ,SGD Buy Instant Order,1.30388,3.79636162,2021-11-19 23:49:20,5,,3.796361,n,n,n,n,,,,,,,,
46,KSM ,SGD Buy Instant Order,472.43,0.01047774,2021-11-25 23:59:40,5,,0.010477,n,n,n,n,,,,,,,,
47,KSM ,SGD Buy Instant Order,431.615,0.01146855,2021-11-26 16:47:30,5,,0.0114685500000000,0.021946,n,n,n,,,,,,,,
48,KSM ,SGD Buy Instant Order,418.233,0.0118355,2021-12-04 22:43:58,5,,0.01183,0.023304,0.033781,n,n,,,,,,,,
49,KSM ,SGD Buy Instant Order,404.395,0.0122405,2021-12-05 22:34:42,5,,0.01224,0.0240,0.035544,0.046022,n,,,,,,,,
50,KSM ,SGD Buy Instant Order,379.834,0.013032,2021-12-24 01:00:38,5,,0.0130,0.0252725000000000,0.0371,0.048576,0.059054,,,,,,,,
51,LRC ,SGD Buy Instant Order,2.94536,1.6806095,2021-12-28 12:10:44,5,,1.68060,n,n,n,n,,,,,,,,
52,LRC ,SGD Buy Instant Order,2.77461,1.78403451,2021-12-29 21:17:15,5,,1.78403450999999,3.46464400999999,n,n,n,,,,,,,,
53,LRC ,SGD Buy Instant Order,2.83655,1.74507764,2022-01-03 00:26:22,5,,1.74507763999999,3.52911214999999,5.209721,n,n,,,,,,,,
54,LRC ,SGD Buy Instant Order,1.03235,4.79488545,2022-01-23 10:03:19,5,,4.794885,6.5399630899999,8.3239975999999,10.00460,n,LRC ,SGD Sell Instant Order,1.38749,4.79488545,2022-01-26 17:53:14,6.58,6.58,4.794885
55,LUNA ,SGD Buy Instant Order,59.0752,0.08379149999999999,2021-11-20 00:31:46,5,,0.083791499999999,n,n,n,n,,,,,,,,
56,LUNA ,SGD Buy Instant Order,56.8124,0.08730488,2021-11-22 11:42:00,5,,0.087304,0.171096,n,n,n,,,,,,,,
57,LUNA ,SGD Buy Instant Order,117.226,0.04222612,2021-12-29 00:50:33,5,,0.0422261200000000,0.1295,0.21332,n,n,,,,,,,,
58,LUNA ,SGD Buy Instant Order,89.5557,0.05527286,2022-01-23 10:03:40,5,,0.0552728600000000,0.097498980000000,0.184803860000000,0.268595,n,,,,,,,,
59,LUNA ,SGD Buy Instant Order,86.229,0.05740528,2022-01-26 20:33:55,5,,0.057405280000000,0.112678140000000,0.154904260000000,0.242209140000000,0.326000,,,,,,,,
60,MANA ,SGD Buy Instant Order,4.12966,1.19864589,2021-11-04 00:39:57,5,,1.198645,n,n,n,n,,,,,,,,
61,MANA ,SGD Buy Instant Order,5.11822,0.9671331,2021-12-05 22:40:02,5,,0.96713310000000,2.165778,n,n,n,,,,,,,,
62,MANA ,SGD Buy Instant Order,4.97408,0.9951589,2021-12-05 23:20:25,5,,0.99515890000000,1.9622,3.160937,n,n,,,,,,,,
63,MANA ,SGD Buy Instant Order,4.67883,1.05795679,2021-12-06 21:29:04,5,,1.05795679000000,2.05311569000000,3.020248,4.218894,n,,,,,,,,
64,MKR ,SGD Buy Instant Order,4405.3,0.00112364,2021-11-03 19:36:09,5,,0.001123,n,n,n,n,MKR ,SGD Sell Instant Order,4676.84,0.00112364,2021-11-04 00:19:38,5.2,5.2,0.001123
65,MKR ,SGD Buy Instant Order,4405.3,0.00112364,2021-11-03 19:36:09,5,,0.001123,0.002247,n,n,n,MKR ,SGD Sell Instant Order,4676.84,0.00112364,2021-11-04 00:19:38,5.2,5.2,0.001123
66,MKR ,SGD Buy Instant Order,3561.01,0.00139005,2021-12-04 22:44:22,5,,0.00139004999999999,0.00251369000000000,0.00363733000000000,n,n,,,,,,,,
67,MKR ,SGD Buy Instant Order,3127.22,0.00158287,2021-12-17 18:39:06,5,,0.00158286999999999,0.002972,0.0040965600000000,0.00522,n,,,,,,,,
68,MKR ,SGD Buy Instant Order,3542.56,0.00139729,2021-12-28 11:46:23,5,,0.00139728999999999,0.002980,0.0043702100000000,0.005493,0.006617,,,,,,,,
69,MKR ,SGD Buy Instant Order,3450.85,0.00143442,2021-12-28 18:46:33,5,,0.00143441999999999,0.00283170999999999,0.0044145800000000,0.005804,0.006928,,,,,,,,
70,MKR ,SGD Buy Instant Order,3192.54,0.00155048,2022-01-01 21:55:20,5,,0.00155047999999999,0.00298489999999999,0.0043821900000000,0.00596505999999999,0.007355,,,,,,,,
71,MKR ,SGD Buy Instant Order,2445.34,0.00202425,2022-01-26 20:31:30,5,,0.00202424999999999,0.00357472999999999,0.0050091500000000,0.0064064399999999,0.007989,,,,,,,,
72,NANO ,SGD Buy Instant Order,7.92427,0.62908002,2021-11-08 19:49:56,5,,0.629080,n,n,n,n,NANO ,SGD Sell Instant Order,8.40668,0.62908002,2021-11-17 19:13:38,5.24,5.24,0.629080
73,NANO ,SGD Buy Instant Order,7.78757,0.63562831,2021-11-19 23:50:26,5,,0.635628,1.264708,n,n,n,,,,,,,,
74,NANO ,SGD Buy Instant Order,7.19237,0.68822933,2021-11-22 20:29:40,5,,0.688229,1.323857,1.952937,n,n,,,,,,,,
75,NANO ,SGD Buy Instant Order,6.47592,0.76437015,2021-11-28 14:09:29,5,,0.764370,1.452599,2.088227,2.717307,n,,,,,,,,
76,NEAR ,SGD Buy Instant Order,14.4466,0.34264117,2021-11-02 22:13:50,5,,0.342641,n,n,n,n,NEAR ,SGD Sell Instant Order,14.9107,0.34264117,2021-11-04 00:31:21,5.05,5.05,0.342641
77,NEAR ,SGD Buy Instant Order,14.4466,0.34264117,2021-11-02 22:13:50,5,,0.342641,0.685282,n,n,n,NEAR ,SGD Sell Instant Order,14.9107,0.34264117,2021-11-04 00:31:21,5.05,5.05,0.342641
78,OMG ,SGD Buy Instant Order,11.1793,0.44278264,2021-11-26 22:47:39,5,,0.442782,n,n,n,n,,,,,,,,
79,OMG ,SGD Buy Instant Order,10.6854,0.46324891,2021-11-28 10:49:32,5,,0.463248,0.906031,n,n,n,,,,,,,,
80,OMG ,SGD Buy Instant Order,10.7931,0.45862634,2021-11-28 14:45:04,5,,0.458626,0.92187525000000,1.36465789000000,n,n,,,,,,,,
81,OMG ,SGD Buy Instant Order,8.83538,0.56024755,2021-12-04 22:44:48,5,,0.560247,1.018873,1.48212280000000,1.92490544000000,n,,,,,,,,
82,OMG ,SGD Buy Instant Order,7.68397,0.64419824,2021-12-20 22:21:26,5,,0.644198,1.20444579000000,1.66307213000000,2.12632104000000,2.56910368000000,,,,,,,,
83,OMG ,SGD Buy Instant Order,8.92636,0.55453734,2021-12-28 15:12:37,5,,0.55453734000000,1.19873558000000,1.75898313000000,2.21760947000000,2.68085838000000,,,,,,,,
84,OMG ,SGD Buy Instant Order,8.30729,0.59586218,2021-12-29 21:13:49,5,,0.59586218000000,1.15039952000000,1.79459776000000,2.3548453100000,2.81347165000000,,,,,,,,
85,OMG ,SGD Buy Instant Order,5.84567,0.8467806,2022-01-23 10:04:11,5,,0.84678060000000,1.44264278000000,1.99718012000000,2.64137836000000,3.2016259100000,,,,,,,,
86,RUNE ,SGD Buy Instant Order,14.1911,0.34881016,2021-12-03 23:05:17,5,,0.348810,n,n,n,n,,,,,,,,
87,SAND ,SGD Buy Instant Order,4.37469,1.13150874,2021-11-04 00:34:46,5,,1.131508,n,n,n,n,,,,,,,,
88,SAND ,SGD Buy Instant Order,6.83455,0.72426129,2021-12-11 17:37:16,5,,0.72426129000000,1.855770,n,n,n,,,,,,,,
89,SNX ,SGD Buy Instant Order,10.0074,0.49463397,2021-12-02 08:47:12,5,,0.494633,n,n,n,n,SNX ,SGD Sell Instant Order,10.426,0.49463397,2021-12-03 21:12:41,5.1,5.1,0.494633
90,SNX ,SGD Buy Instant Order,5.25053,0.94276196,2022-01-23 10:05:37,5,,0.94276196000000,1.437395,n,n,n,,,,,,,,
91,UNI ,SGD Buy Instant Order,34.9977,0.14243793,2021-11-08 19:47:25,5,,0.142437,n,n,n,n,UNI ,SGD Sell Instant Order,36.1628,0.14243793,2021-11-09 13:37:47,5.13,5.13,0.142437
92,UNI ,SGD Buy Instant Order,28.8421,0.17162411,2021-11-19 22:01:21,5,,0.171624,0.314062,n,n,n,UNI ,SGD Sell Instant Order,29.7357,0.17162412,2021-11-22 20:28:34,5.05,5.05,0.171624
93,VET ,SGD Buy Instant Order,0.12467,39.70482072,2021-12-09 17:46:48,5,,39.704820,n,n,n,n,VET ,SGD Sell Instant Order,0.12919,39.70482072,2021-12-24 11:29:11,5.07,5.07,39.704820
94,YFI ,SGD Buy Instant Order,39375.6,0.00012571,2021-11-28 10:48:18,5,,0.000125,n,n,n,n,YFI ,SGD Sell Instant Order,41375.35,0.00012571,2021-11-29 08:34:27,5.14,5.14,0.000125
95,YFI ,SGD Buy Instant Order,38973.65,0.000127,2021-12-02 20:16:41,5,,0.000126999999999999,0.000252709999999999,n,n,n,,,,,,,,
96,YFI ,SGD Buy Instant Order,31716.84,0.00015606,2021-12-04 15:35:35,5,,0.000156059999999999,0.00028305999999999,0.00040876999999999,n,n,,,,,,,,
97,YFI ,SGD Buy Instant Order,41471.25,0.00011935,2021-12-28 11:50:39,5,,0.000119349999999999,0.00027540999999999,0.000402409999999999,0.000528,n,,,,,,,,
98,YFI ,SGD Buy Instant Order,40655.88,0.00012175,2021-12-28 18:45:17,5,,0.000121749999999999,0.000241099999999999,0.000397159999999999,0.000524,0.000649,,,,,,,,
99,YFI ,SGD Buy Instant Order,32077.85,0.00015431,2022-01-23 10:02:15,5,,0.000154309999999999,0.00027605999999999,0.000395,0.00055147000000000,0.000678,,,,,,,,
100,ZEC ,SGD Buy Instant Order,277.246,0.01785418,2021-12-04 09:12:08,5,,0.017854,n,n,n,n,,,,,,,,
101,,,,,,,,,,,,,SNX ,SGD Sell Instant Order,5.61313,0.94276196,2022-01-26 01:32:47,5.23,5.23,0.942761
102,,,,,,,,,,,,,FTM ,SGD Sell Instant Order,3.13886,1.75131349,2022-01-25 19:39:24,5.44,5.44,1.751313
103,,,,,,,,,,,,,LUNA ,SGD Sell Instant Order,124.17,0.04222613,2022-01-03 16:46:02,5.19,5.19,0.042226
104,,,,,,,,,,,,,YFI ,SGD Sell Instant Order,44820.96,0.00024112,2022-01-01 21:25:29,10.69,10.69,0.000241
105,,,,,,,,,,,,,KSM ,SGD Sell Instant Order,439.323,0.03710803,2021-12-27 10:14:59,16.17,16.17,0.037108
106,,,,,,,,,,,,,MKR ,SGD Sell Instant Order,3412.74,0.00297293,2021-12-24 00:44:55,10.04,10.04,0.002972
107,,,,,,,,,,,,,AAVE ,SGD Sell Instant Order,311.219,0.03373722,2021-12-23 18:52:37,10.39,10.39,0.033737
108,,,,,,,,,,,,,OMG ,SGD Sell Instant Order,8.66253,1.2044458,2021-12-22 19:14:45,10.32,10.32,1.20444
109,,,,,,,,,,,,,YFI ,SGD Sell Instant Order,36489.33,0.00028307,2021-12-17 18:30:10,10.22,10.22,0.000283
110,,,,,,,,,,,,,SAND ,SGD Sell Instant Order,7.26724,0.72426129,2021-12-12 22:07:42,5.21,5.21,0.724261
111,,,,,,,,,,,,,OMG ,SGD Sell Instant Order,11.6923,1.3646579,2021-11-30 07:01:04,15.82,15.82,1.36465
112,,,,,,,,,,,,,LUNA ,SGD Sell Instant Order,62.8302,0.16288674,2021-11-28 14:25:48,10.13,10.13,0.162886
113,,,,,,,,,,,,,KSM ,SGD Sell Instant Order,466.822,0.02194629,2021-11-28 01:24:41,10.16,10.16,0.021946
114,,,,,,,,,,,,,MATIC ,SGD Sell Instant Order,2.62735,1.96745928,2021-11-26 08:00:10,5.11,5.11,1.967459
115,,,,,,,,,,,,,LUNA ,SGD Sell Instant Order,61.4698,0.0837915,2021-11-21 07:31:40,5.09,5.09,0.08379
116,,,,,,,,,,,,,ENJ ,SGD Sell Instant Order,4.54251,3.38264075,2021-11-19 21:43:42,15.24,15.24,3.382640
